id,temperature_bmp,pressure,temperature_dht,humidity,timestamp
1992,24.33,999.943,23.3,48,04/03/25 14:20
1993,24.33,999.944,23.3,48,04/03/25 14:20
1994,24.33,999.939,23.3,48,04/03/25 14:20
1995,24.32,999.878,23.3,48,04/03/25 14:20
1996,24.33,999.903,23.3,48,04/03/25 14:20
1997,24.33,999.936,23.3,48,04/03/25 14:20
1998,24.33,999.913,23.3,48,04/03/25 14:20
1999,24.33,999.898,23.3,48,04/03/25 14:20
2000,24.34,999.896,23.3,48,04/03/25 14:20
2001,24.33,999.906,23.3,48,04/03/25 14:20
2002,24.33,999.917,23.3,48,04/03/25 14:20
2003,24.33,999.914,23.3,48,04/03/25 14:20
2004,24.33,999.921,23.3,48,04/03/25 14:21
2005,24.33,999.904,23.3,48,04/03/25 14:21
2006,24.34,999.878,23.3,48,04/03/25 14:21
2007,24.34,999.892,23.3,48,04/03/25 14:21
2008,24.34,999.915,23.3,48,04/03/25 14:21
2009,24.34,999.906,23.3,48,04/03/25 14:21
2010,24.34,999.923,23.3,48,04/03/25 14:21
2011,24.34,999.905,23.3,48,04/03/25 14:21
2012,24.34,999.888,23.3,48,04/03/25 14:21
2013,24.34,999.875,23.3,48,04/03/25 14:21
2014,24.34,999.897,23.3,48,04/03/25 14:21
2015,24.34,999.88,23.3,48,04/03/25 14:21
2016,24.34,999.886,23.3,48,04/03/25 14:22
2017,24.34,999.89,23.3,48,04/03/25 14:22
2018,24.34,999.883,23.3,48,04/03/25 14:22
2019,24.34,999.915,23.3,48,04/03/25 14:22
2020,24.34,999.87,23.3,48,04/03/25 14:22
2021,24.34,999.869,23.3,48,04/03/25 14:22
2022,24.35,999.908,23.3,48,04/03/25 14:22
2023,24.35,999.907,23.3,48,04/03/25 14:22
2024,24.35,999.907,23.3,48,04/03/25 14:22
2025,24.35,999.905,23.3,48,04/03/25 14:22
2026,24.36,999.911,23.3,48,04/03/25 14:22
2027,24.36,999.896,23.3,48,04/03/25 14:22
2028,24.36,999.896,23.3,48,04/03/25 14:23
2029,24.36,999.898,23.3,48,04/03/25 14:23
2030,24.36,999.899,23.3,48,04/03/25 14:23
2031,24.36,999.849,23.3,48,04/03/25 14:23
2032,24.36,999.909,23.3,48,04/03/25 14:23
2033,24.36,999.867,23.3,48,04/03/25 14:23
2034,24.36,999.885,23.3,48,04/03/25 14:23
2035,24.36,999.838,23.3,48,04/03/25 14:23
2036,24.36,999.869,23.3,48,04/03/25 14:23
2037,24.37,999.87,23.3,48,04/03/25 14:23
2038,24.37,999.869,23.3,48,04/03/25 14:23
2039,24.36,999.881,23.3,48,04/03/25 14:23
2040,24.37,999.878,23.3,48,04/03/25 14:24
2041,24.37,999.871,23.3,48,04/03/25 14:24
2042,24.37,999.86,23.3,48,04/03/25 14:24
2043,24.37,999.881,23.3,48,04/03/25 14:24
2044,24.37,999.863,23.3,48,04/03/25 14:24
2045,24.37,999.886,23.3,48,04/03/25 14:24
2046,24.37,999.903,23.3,48,04/03/25 14:24
2047,24.37,999.869,23.3,48,04/03/25 14:24
2048,24.37,999.883,23.3,48,04/03/25 14:24
2049,24.37,999.844,23.3,48,04/03/25 14:24
2050,24.37,999.88,23.3,48,04/03/25 14:24
2051,24.38,999.882,23.4,48,04/03/25 14:24
2052,24.38,999.889,23.3,48,04/03/25 14:25
2053,24.38,999.863,23.3,48,04/03/25 14:25
2054,24.38,999.86,23.4,48,04/03/25 14:25
2055,24.38,999.876,23.4,48,04/03/25 14:25
2056,24.38,999.87,23.4,48,04/03/25 14:25
2057,24.38,999.845,23.4,48,04/03/25 14:25
2058,24.38,999.861,23.4,48,04/03/25 14:25
2059,24.39,999.884,23.4,48,04/03/25 14:25
2060,24.38,999.859,23.4,48,04/03/25 14:25
2061,24.38,999.882,23.4,48,04/03/25 14:25
2062,24.38,999.807,23.4,48,04/03/25 14:25
2063,24.39,999.882,23.4,48,04/03/25 14:25
2064,24.39,999.847,23.4,48,04/03/25 14:26
2065,24.39,999.852,23.4,48,04/03/25 14:26
2066,24.39,999.883,23.4,48,04/03/25 14:26
2067,24.39,999.853,23.4,48,04/03/25 14:26
2068,24.39,999.823,23.4,48,04/03/25 14:26
2069,24.39,999.831,23.4,48,04/03/25 14:26
2070,24.4,999.802,23.4,48,04/03/25 14:26
2071,24.4,999.817,23.4,48,04/03/25 14:26
2072,24.4,999.819,23.4,48,04/03/25 14:26
2073,24.4,999.861,23.4,48,04/03/25 14:26
2074,24.4,999.856,23.4,48,04/03/25 14:26
2075,24.41,999.832,23.4,48,04/03/25 14:26
2076,24.4,999.851,23.4,48,04/03/25 14:27
2077,24.41,999.844,23.4,48,04/03/25 14:27
2078,24.41,999.86,23.4,48,04/03/25 14:27
2079,24.41,999.827,23.4,48,04/03/25 14:27
2080,24.41,999.833,23.4,48,04/03/25 14:27
2081,24.42,999.841,23.4,48,04/03/25 14:27
2082,24.42,999.815,23.4,48,04/03/25 14:27
2083,24.41,999.814,23.4,48,04/03/25 14:27
2084,24.42,999.832,23.4,48,04/03/25 14:27
2085,24.42,999.822,23.4,48,04/03/25 14:27
2086,24.41,999.807,23.4,48,04/03/25 14:27
2087,24.42,999.813,23.4,48,04/03/25 14:27
2088,24.42,999.829,23.4,48,04/03/25 14:28
2089,24.42,999.842,23.4,48,04/03/25 14:28
2090,24.42,999.837,23.4,48,04/03/25 14:28
2091,24.42,999.823,23.4,48,04/03/25 14:28
2092,24.42,999.792,23.4,48,04/03/25 14:28
2093,24.43,999.822,23.4,48,04/03/25 14:28
2094,24.42,999.83,23.4,48,04/03/25 14:28
2095,24.43,999.802,23.4,48,04/03/25 14:28
2096,24.42,999.813,23.4,48,04/03/25 14:28
2097,24.42,999.808,23.4,48,04/03/25 14:28
2098,24.43,999.746,23.4,48,04/03/25 14:28
2099,24.42,999.792,23.4,48,04/03/25 14:28
2100,24.43,999.799,23.4,48,04/03/25 14:29
2101,24.43,999.769,23.4,48,04/03/25 14:29
2102,24.43,999.773,23.4,48,04/03/25 14:29
2103,24.43,999.796,23.4,48,04/03/25 14:29
2104,24.44,999.765,23.5,48,04/03/25 14:29
2105,24.43,999.811,23.4,48,04/03/25 14:29
2106,24.44,999.804,23.5,48,04/03/25 14:29
2107,24.44,999.799,23.5,48,04/03/25 14:29
2108,24.44,999.818,23.5,48,04/03/25 14:29
2109,24.44,999.799,23.5,48,04/03/25 14:29
2110,24.44,999.808,23.5,48,04/03/25 14:29
